time_sec,action,action_name
1652405343.27616,R,Right Wink
1652405347.412092,R,Right Wink
1652405351.220727,R,Right Wink
1652405353.800378,R,Right Wink
1652405359.13642,S,Double Blink
1652405362.051666,R,Right Wink
1652405363.985101,S,Double Blink
1652405368.085438,L,Left Wink
1652405370.840887,R,Right Wink
1652405375.322013,L,Left Wink
1652405378.744483,R,Right Wink
1652405381.347852,S,Double Blink
1652405383.5525372,L,Left Wink
1652405389.419877,L,Left Wink
1652405394.3404212,R,Right Wink
1652405396.510537,S,Double Blink
1652405399.393537,L,Left Wink
1652405401.329058,L,Left Wink
1652405405.470211,L,Left Wink
1652405408.8307981,R,Right Wink
1652405412.66007,L,Left Wink
1652405417.884177,R,Right Wink
1652405422.566014,L,Left Wink
1652405426.9772532,R,Right Wink
1652405429.894718,L,Left Wink
1652405435.585552,L,Left Wink
1652405440.027175,R,Right Wink
1652405445.986314,R,Right Wink
1652405449.170603,L,Left Wink
1652405454.869153,S,Double Blink
1652405457.310119,R,Right Wink
1652405459.819089,R,Right Wink
1652405464.499476,R,Right Wink
1652405466.776396,R,Right Wink
1652405468.367656,R,Right Wink
1652405473.5489979,R,Right Wink
1652405479.078544,L,Left Wink
1652405483.9214358,S,Double Blink
1652405488.742315,R,Right Wink
1652405491.246649,L,Left Wink
1652405494.7729878,L,Left Wink
1652405498.603343,R,Right Wink
1652405503.6572192,R,Right Wink
1652405506.709267,R,Right Wink
1652405510.813168,R,Right Wink
1652405516.073584,L,Left Wink
1652405520.214296,S,Double Blink
1652405523.7057312,S,Double Blink
1652405526.6541681,S,Double Blink
1652405532.152236,L,Left Wink
1652405538.015312,R,Right Wink
1652405543.245451,S,Double Blink
1652405546.19778,R,Right Wink
1652405550.906106,S,Double Blink
1652405554.8396769,R,Right Wink
1652405559.657776,L,Left Wink
1652405564.951115,R,Right Wink
1652405568.95555,L,Left Wink
1652405570.914311,S,Double Blink
1652405572.712566,R,Right Wink
1652405576.2755132,S,Double Blink
1652405579.4633589,S,Double Blink
1652405582.9540648,S,Double Blink
