time_sec,action,action_name
1652659444.192817,R,Right Wink
1652659449.613099,L,Left Wink
1652659451.240997,R,Right Wink
1652659455.481131,R,Right Wink
1652659459.214695,R,Double Blink
1652659464.846453,S,Double Blink
1652659469.627245,S,Double Blink
1652659474.477094,L,Left Wink
1652659477.458212,R,Right Wink
1652659483.428011,L,Left Wink
1652659485.394773,S,Double Blink
1652659490.784748,L,Left Wink
1652659493.874521,L,Left Wink
1652659498.7597609,S,Double Blink
1652659503.8159769,L,Left Wink
1652659508.6596138,S,Double Blink
1652659511.743372,R,Right Wink
1652659515.269953,L,Left Wink
1652659519.376279,L,Left Wink
1652659522.122831,L,Left Wink
1652659525.349378,R,Right Wink
1652659528.3311691,L,Left Wink
1652659530.06429,S,Double Blink
1652659535.254467,R,Right Wink
1652659539.186668,L,Left Wink
1652659540.808091,R,Right Wink
1652659542.569952,R,Right Wink
1652659546.876759,R,Right Wink
1652659550.9062972,R,Right Wink
1652659553.011238,L,Left Wink
1652659556.946475,R,Right Wink
1652659562.4472451,S,Double Blink
1652659566.9518468,S,Double Blink
1652659571.055176,R,Right Wink
1652659573.459353,L,Left Wink
