time_sec,action,action_name
1652662342.342388,S,Double Blink
1652662344.102849,L,Left Wink
1652662347.5966551,L,Left Wink
1652662350.545929,L,Left Wink
1652662352.4450219,L,Left Wink
1652662356.612727,L,Left Wink
1652662359.192236,S,Double Blink
1652662364.313903,R,Right Wink
1652662369.469376,R,Right Wink
1652662371.3010619,S,Double Blink
1652662372.860775,L,Left Wink
1652662378.5237188,R,Right Wink
1652662383.679446,L,Left Wink
1652662388.6963918,R,Right Wink
1652662394.6859221,R,Right Wink
1652662399.230438,R,Right Wink
1652662401.03042,S,Double Blink
1652662406.212395,L,Left Wink
1652662409.674943,S,Double Blink
1652662412.1200929,R,Right Wink
1652662415.952679,L,Left Wink
1652662418.291887,S,Double Blink
1652662424.010389,L,Left Wink
1652662430.008575,L,Left Wink
1652662434.583074,L,Left Wink
1652662438.2764301,S,Double Blink
1652662442.688053,L,Left Wink
1652662448.5438972,S,Double Blink
1652662450.782403,R,Right Wink
1652662453.497081,S,Double Blink
1652662457.05989,R,Right Wink
1652662459.473711,R,Right Wink
1652662464.18402,S,Double Blink
1652662469.3783522,L,Left Wink
1652662472.7042382,L,Left Wink
1652662477.0339782,S,Double Blink
1652662483.007797,S,Double Blink
1652662486.706932,R,Right Wink
1652662490.670007,L,Left Wink
