time_sec,action,action_name
1652333806.83746,S,Double Blink
1652333810.39677,S,Double Blink
1652333815.607701,L,Left Wink
1652333819.543904,R,Right Wink
1652333822.3253498,L,Left Wink
1652333824.6256971,R,Right Wink
1652333829.064845,R,Right Wink
1652333832.32187,R,Right Wink
1652333837.199004,L,Left Wink
1652333843.0697181,S,Double Blink
1652333846.870759,R,Right Wink
1652333850.768513,S,Double Blink
1652333852.531847,R,Right Wink
1652333857.0346482,R,Right Wink
1652333861.3763561,S,Double Blink
1652333864.45857,S,Double Blink
1652333866.9357061,L,Left Wink
1652333869.436683,L,Left Wink
1652333872.1486778,L,Left Wink
1652333877.6055622,R,Right Wink
1652333883.1617322,L,Left Wink
1652333886.0472739,S,Double Blink
1652333890.2482848,R,Right Wink
1652333894.248105,R,Right Wink
1652333896.517696,L,Left Wink
1652333898.991458,S,Double Blink
1652333904.588722,L,Left Wink
1652333906.318866,R,Right Wink
1652333909.4349692,S,Double Blink
1652333911.703129,L,Left Wink
1652333913.467504,R,Right Wink
1652333917.465653,S,Double Blink
1652333919.128227,S,Double Blink
1652333922.920039,L,Left Wink
1652333928.413986,L,Left Wink
1652333930.04245,L,Left Wink
1652333935.970428,S,Double Blink
1652333940.986559,R,Right Wink
1652333942.923622,L,Left Wink
1652333947.370232,R,Right Wink
1652333949.777351,L,Left Wink
1652333953.365986,S,Double Blink
1652333955.1298509,S,Double Blink
1652333960.652122,S,Double Blink
1652333963.505654,R,Right Wink
1652333967.6398761,L,Left Wink
1652333972.222613,R,Right Wink
1652333976.910343,R,Right Wink
