time_sec,action,action_name
1652663000.265546,R,Right Wink
1652663005.8625338,R,Right Wink
1652663009.5884402,S,Double Blink
1652663013.04598,R,Right Wink
1652663017.383382,R,Right Wink
1652663022.87643,R,Right Wink
1652663026.0243032,S,Double Blink
1652663031.316889,R,Right Wink
1652663034.949684,R,Right Wink
1652663040.031785,R,Right Wink
1652663042.9437408,L,Left Wink
1652663046.336033,L,Left Wink
1652663049.9595551,R,Right Wink
1652663054.578036,S,Double Blink
1652663056.915863,L,Left Wink
1652663060.412051,S,Double Blink
1652663063.697237,L,Left Wink
1652663065.730976,R,Right Wink
1652663068.3738759,R,Right Wink
1652663073.0832388,L,Left Wink
1652663077.9261289,S,Double Blink
1652663083.119235,S,Double Blink
1652663088.619408,L,Left Wink
1652663090.657259,R,Right Wink
1652663095.946614,S,Double Blink
1652663101.803999,R,Right Wink
1652663106.273424,S,Double Blink
1652663109.352075,L,Left Wink
1652663111.287154,L,Left Wink
1652663114.8508632,S,Double Blink
1652663118.648822,S,Double Blink
1652663124.0014799,R,Right Wink
1652663127.393997,L,Left Wink
1652663132.919636,L,Left Wink
1652663136.348644,L,Left Wink
1652663140.349279,R,Right Wink
1652663142.5241,S,Double Blink
1652663146.861446,R,Right Wink
1652663149.91426,L,Left Wink
1652663155.854027,S,Double Blink
1652663160.503239,L,Left Wink
1652663165.31519,L,Left Wink
1652663169.929197,L,Left Wink
