time_sec,action,action_name
1652407337.882763,L,Left Wink
1652407343.000912,R,Right Wink
1652407346.3174698,R,Right Wink
1652407350.290078,R,Right Wink
1652407352.8324668,L,Left Wink
1652407356.625484,S,Double Blink
1652407361.945406,S,Double Blink
1652407364.834352,R,Right Wink
1652407367.5821528,S,Double Blink
1652407371.7596679,R,Right Wink
1652407373.7619011,L,Left Wink
1652407379.4864728,S,Double Blink
1652407383.223297,L,Left Wink
1652407387.801365,S,Double Blink
1652407391.698057,R,Right Wink
1652407394.4790342,R,Right Wink
1652407397.7011478,R,Right Wink
1652407400.174146,R,Right Wink
1652407402.824207,L,Left Wink
1652407405.504498,L,Left Wink
1652407408.4575639,S,Double Blink
1652407414.287315,R,Right Wink
1652407419.068591,R,Right Wink
1652407421.5420978,L,Left Wink
1652407423.876279,L,Left Wink
1652407426.7290182,R,Right Wink
1652407429.2728,L,Left Wink
1652407433.815991,S,Double Blink
1652407438.3958411,L,Left Wink
1652407444.0265448,S,Double Blink
1652407446.4604712,S,Double Blink
1652407452.357613,S,Double Blink
1652407457.337197,R,Right Wink
1652407460.8643782,L,Left Wink
1652407463.573588,R,Right Wink
1652407467.5834692,S,Double Blink
1652407472.998903,S,Double Blink
1652407478.084822,L,Left Wink
1652407481.781148,R,Right Wink
1652407484.3631392,S,Double Blink
