time_sec,action,action_name
1652400631.709669,S,Double Blink
1652400634.0489721,L,Left Wink
1652400637.5766132,R,Right Wink
1652400639.474762,R,Right Wink
1652400642.457175,S,Double Blink
1652400647.411026,L,Left Wink
1652400652.736567,S,Double Blink
1652400658.5640771,S,Double Blink
1652400664.1238139,R,Right Wink
1652400669.652046,R,Right Wink
1652400674.635421,R,Right Wink
1652400678.332486,S,Double Blink
1652400683.289904,S,Double Blink
1652400684.913527,R,Right Wink
1652400688.196775,R,Right Wink
1652400689.8567731,S,Double Blink
1652400693.3855848,S,Double Blink
1652400696.543423,R,Right Wink
1652400698.4374568,L,Left Wink
1652400700.944648,L,Left Wink
1652400704.060405,S,Double Blink
1652400709.1451561,R,Right Wink
1652400714.663003,R,Right Wink
1652400718.870707,R,Right Wink
1652400723.144235,L,Left Wink
1652400725.654868,L,Left Wink
1652400729.895218,R,Right Wink
1652400731.6605499,S,Double Blink
1652400735.736744,R,Right Wink
1652400738.9563599,S,Double Blink
1652400744.379748,R,Right Wink
1652400748.485646,L,Left Wink
1652400752.150511,S,Double Blink
1652400756.385673,S,Double Blink
1652400758.45684,L,Left Wink
1652400762.361296,R,Right Wink
1652400767.039627,S,Double Blink
1652400772.162587,L,Left Wink
1652400775.652767,S,Double Blink
1652400777.8946419,S,Double Blink
1652400780.4388978,R,Right Wink
1652400784.749821,S,Double Blink
1652400789.840956,L,Left Wink
1652400792.2149398,S,Double Blink
1652400793.842365,L,Left Wink
1652400798.321454,L,Left Wink
1652400800.322765,R,Right Wink
1652400805.953778,L,Left Wink
1652400810.3358579,L,Left Wink
1652400814.1357481,R,Right Wink
1652400816.309186,S,Double Blink
1652400817.9348302,L,Left Wink
