time_sec,action,action_name
1652336015.7650108,R,Right Wink
1652336018.1392589,L,Left Wink
1652336020.514681,S,Double Blink
1652336024.3875608,S,Double Blink
1652336028.28553,L,Left Wink
1652336032.726103,L,Left Wink
1652336035.578995,R,Right Wink
1652336039.070035,L,Left Wink
1652336042.567447,L,Left Wink
1652336045.655942,R,Right Wink
1652336050.8678982,L,Left Wink
1652336052.5298629,S,Double Blink
1652336054.2281759,R,Right Wink
1652336058.937912,R,Right Wink
1652336060.9715981,S,Double Blink
1652336065.5156648,L,Left Wink
1652336071.5103092,R,Right Wink
1652336075.650322,R,Right Wink
1652336077.513833,S,Double Blink
1652336082.972466,S,Double Blink
1652336087.080547,S,Double Blink
1652336089.889365,L,Left Wink
1652336092.637695,L,Left Wink
1652336094.301161,S,Double Blink
1652336098.266686,R,Right Wink
1652336103.388427,R,Right Wink
1652336109.096554,S,Double Blink
1652336113.8793752,L,Left Wink
1652336116.929315,S,Double Blink
1652336119.606535,L,Left Wink
1652336121.780341,S,Double Blink
1652336124.896016,S,Double Blink
1652336127.307999,L,Left Wink
1652336131.547225,L,Left Wink
1652336135.344526,R,Right Wink
1652336140.9707599,L,Left Wink
1652336145.378583,S,Double Blink
1652336149.004214,R,Right Wink
