time_sec,action,action_name
1652333349.1857688,S,Double Blink
1652333355.12339,R,Right Wink
1652333358.6487691,R,Right Wink
1652333364.355144,S,Double Blink
1652333370.0269802,S,Double Blink
1652333371.756598,L,Left Wink
1652333377.4506419,L,Left Wink
1652333380.067101,S,Double Blink
1652333382.267464,L,Left Wink
1652333385.958081,R,Right Wink
1652333387.716636,R,Right Wink
1652333391.514894,R,Right Wink
1652333393.846791,L,Left Wink
1652333396.1164181,L,Left Wink
1652333399.232897,S,Double Blink
1652333401.7105799,L,Left Wink
1652333403.847337,S,Double Blink
1652333407.747245,S,Double Blink
1652333412.7951832,R,Right Wink
1652333418.388488,S,Double Blink
1652333423.0994802,S,Double Blink
1652333424.9678779,R,Right Wink
1652333426.832318,S,Double Blink
1652333430.257032,R,Right Wink
1652333434.531174,R,Right Wink
1652333436.3278668,S,Double Blink
1652333438.904372,L,Left Wink
1652333441.240906,S,Double Blink
1652333443.64533,S,Double Blink
1652333445.782958,R,Right Wink
1652333449.409769,S,Double Blink
1652333451.5800178,S,Double Blink
1652333456.8288472,R,Right Wink
1652333462.0150452,L,Left Wink
1652333465.476761,R,Right Wink
1652333470.935015,S,Double Blink
1652333475.927156,R,Right Wink
1652333481.1797602,S,Double Blink
1652333483.413169,S,Double Blink
1652333488.3891652,R,Right Wink
1652333492.632403,R,Right Wink
1652333496.97733,R,Right Wink
1652333501.523808,R,Right Wink
1652333506.1699111,L,Left Wink
1652333510.6132638,S,Double Blink
1652333512.814817,S,Double Blink
1652333514.779377,L,Left Wink
1652333517.696012,L,Left Wink
1652333521.53603,S,Double Blink
1652333527.037597,S,Double Blink
1652333532.122294,L,Left Wink
1652333537.2361758,L,Left Wink
1652333539.5414011,L,Left Wink
