time_sec,action,action_name
1652662843.932401,L,Left Wink
1652662847.464086,L,Left Wink
1652662849.16044,L,Left Wink
1652662855.027392,R,Right Wink
1652662860.593653,S,Double Blink
1652662864.866696,R,Right Wink
1652662867.3078,R,Right Wink
1652662870.11985,R,Right Wink
1652662873.176987,L,Left Wink
1652662879.180338,S,Double Blink
1652662881.517476,S,Double Blink
1652662883.451566,R,Right Wink
1652662888.368324,R,Right Wink
1652662892.568119,S,Double Blink
1652662895.2465081,R,Right Wink
1652662897.925069,R,Right Wink
1652662903.4138591,R,Right Wink
1652662906.097683,S,Double Blink
1652662908.8104079,S,Double Blink
1652662911.217046,L,Left Wink
1652662913.650153,R,Right Wink
1652662918.392736,L,Left Wink
1652662923.9463072,R,Right Wink
1652662927.098238,R,Right Wink
1652662931.707273,L,Left Wink
1652662934.082342,L,Left Wink
1652662940.089045,S,Double Blink
1652662942.015817,R,Right Wink
1652662945.482763,S,Double Blink
1652662948.841656,S,Double Blink
1652662951.921244,R,Right Wink
1652662956.164462,L,Left Wink
1652662960.603847,R,Right Wink
1652662964.8430688,S,Double Blink
1652662970.546335,S,Double Blink
1652662973.872096,L,Left Wink
1652662976.011347,L,Left Wink
1652662978.385918,S,Double Blink
1652662980.550197,S,Double Blink
1652662982.85808,L,Left Wink
