time_sec,action,action_name
1652406029.688283,L,Left Wink
1652406031.7044349,S,Double Blink
1652406037.1624472,R,Right Wink
1652406038.752458,S,Double Blink
1652406040.31325,S,Double Blink
1652406044.445963,L,Left Wink
1652406046.3104,S,Double Blink
1652406049.023194,S,Double Blink
1652406054.723397,L,Left Wink
1652406058.6234088,L,Left Wink
1652406060.6946828,R,Right Wink
1652406066.226763,R,Right Wink
1652406068.773608,R,Right Wink
1652406071.148248,R,Right Wink
1652406073.419817,L,Left Wink
1652406076.917255,S,Double Blink
1652406079.7992342,S,Double Blink
1652406082.6822898,L,Left Wink
1652406085.669583,R,Right Wink
1652406089.4088588,L,Left Wink
1652406093.305214,R,Right Wink
1652406095.712411,L,Left Wink
1652406098.829901,S,Double Blink
1652406101.209198,S,Double Blink
1652406103.810286,S,Double Blink
1652406109.10237,S,Double Blink
1652406112.054369,R,Right Wink
1652406116.901184,R,Right Wink
1652406120.017317,L,Left Wink
1652406124.969373,L,Left Wink
1652406128.967902,L,Left Wink
1652406132.333386,L,Left Wink
1652406136.085252,S,Double Blink
1652406138.492185,R,Right Wink
1652406142.463288,L,Left Wink
1652406144.604189,S,Double Blink
1652406148.1292748,S,Double Blink
1652406149.758271,L,Left Wink
1652406155.458838,R,Right Wink
1652406159.933183,R,Right Wink
1652406161.935963,L,Left Wink
1652406164.146306,R,Right Wink
1652406166.138665,S,Double Blink
1652406169.870721,S,Double Blink
1652406172.9558132,R,Right Wink
1652406175.161084,S,Double Blink
1652406178.3832839,L,Left Wink
