time_sec,action,action_name
1652660257.561732,R,Right Wink
1652660261.0255291,L,Left Wink
1652660265.624289,L,Left Wink
1652660268.336849,R,Right Wink
1652660271.2886012,L,Left Wink
1652660276.6161711,S,Double Blink
1652660278.851326,S,Double Blink
1652660282.0332,S,Double Blink
1652660287.085094,L,Left Wink
1652660290.574095,L,Left Wink
1652660293.89111,R,Right Wink
1652660299.211196,R,Right Wink
1652660304.8090398,S,Double Blink
1652660309.4853098,S,Double Blink
1652660314.270174,R,Right Wink
1652660316.234167,S,Double Blink
1652660319.359683,L,Left Wink
1652660322.68547,R,Right Wink
1652660324.754226,R,Right Wink
1652660329.09275,R,Right Wink
1652660332.350326,L,Left Wink
1652660335.975856,S,Double Blink
1652660341.9664352,R,Right Wink
1652660347.7342842,R,Right Wink
1652660349.365864,L,Left Wink
1652660353.3673248,S,Double Blink
1652660356.181515,L,Left Wink
1652660361.509541,S,Double Blink
1652660364.187286,S,Double Blink
1652660369.0695329,S,Double Blink
1652660374.758494,R,Right Wink
1652660376.9294012,R,Right Wink
1652660379.0638568,R,Right Wink
1652660383.648286,R,Right Wink
1652660387.4798331,R,Right Wink
1652660390.086147,S,Double Blink
1652660392.632069,S,Double Blink
1652660394.836513,S,Double Blink
1652660396.8732831,R,Right Wink
1652660402.590324,L,Left Wink
1652660405.071255,S,Double Blink
1652660407.350461,L,Left Wink
