time_sec,action,action_name
1652401274.0009909,R,Right Wink
1652401278.208044,S,Double Blink
1652401282.5127199,S,Double Blink
1652401286.173725,S,Double Blink
1652401291.3644748,R,Right Wink
1652401294.149452,R,Right Wink
1652401296.8914618,L,Left Wink
1652401302.618885,S,Double Blink
1652401308.5843809,L,Left Wink
1652401311.120616,L,Left Wink
1652401316.587191,R,Right Wink
1652401321.638124,R,Right Wink
1652401323.6036549,L,Left Wink
1652401327.8052711,L,Left Wink
1652401333.2355032,R,Right Wink
1652401338.825952,L,Left Wink
1652401344.143522,L,Left Wink
1652401346.4443982,L,Left Wink
1652401349.566796,S,Double Blink
1652401352.952805,R,Right Wink
1652401356.30962,S,Double Blink
1652401361.226323,S,Double Blink
1652401363.05342,L,Left Wink
1652401366.344272,R,Right Wink
1652401371.7051342,L,Left Wink
1652401376.182695,S,Double Blink
1652401381.061686,L,Left Wink
1652401385.873357,L,Left Wink
1652401389.263836,S,Double Blink
1652401391.937587,L,Left Wink
1652401396.4217541,L,Left Wink
1652401400.898162,L,Left Wink
1652401403.814811,R,Right Wink
1652401406.3252811,R,Right Wink
1652401412.2873778,L,Left Wink
1652401413.881504,R,Right Wink
1652401419.547174,S,Double Blink
1652401423.644522,R,Right Wink
1652401426.0812821,L,Left Wink
1652401431.411028,L,Left Wink
1652401437.1070771,R,Right Wink
1652401440.532524,L,Left Wink
1652401445.953147,S,Double Blink
1652401450.834953,S,Double Blink
1652401456.358614,L,Left Wink
1652401458.736276,S,Double Blink
1652401462.160275,L,Left Wink
1652401465.884575,L,Left Wink
1652401468.2909281,S,Double Blink
1652401472.565364,S,Double Blink
1652401478.1226501,L,Left Wink
1652401481.315747,L,Left Wink
1652401485.9602199,S,Double Blink
