time_sec,action,action_name
1652400945.093962,L,Left Wink
1652400947.7721071,L,Left Wink
1652400952.348655,R,Right Wink
1652400954.1786082,L,Left Wink
1652400959.4051359,S,Double Blink
1652400962.218464,R,Right Wink
1652400967.207926,R,Right Wink
1652400970.528822,S,Double Blink
1652400976.430836,L,Left Wink
1652400980.198467,R,Right Wink
1652400984.577407,R,Right Wink
1652400988.9531672,R,Right Wink
1652400992.71779,R,Right Wink
1652400995.665962,S,Double Blink
1652401001.560993,L,Left Wink
1652401004.3406951,S,Double Blink
1652401009.562003,S,Double Blink
1652401012.647585,R,Right Wink
1652401017.426343,L,Left Wink
1652401022.814371,R,Right Wink
1652401025.6947122,R,Right Wink
1652401029.866831,L,Left Wink
1652401032.609664,S,Double Blink
1652401036.237463,R,Right Wink
1652401039.324168,S,Double Blink
1652401043.157483,L,Left Wink
1652401046.214368,R,Right Wink
1652401049.743278,L,Left Wink
1652401053.615179,R,Right Wink
1652401058.8089468,S,Double Blink
1652401064.813743,S,Double Blink
1652401069.2532191,R,Right Wink
1652401074.24208,S,Double Blink
1652401076.925327,S,Double Blink
1652401078.850108,L,Left Wink
1652401084.737026,R,Right Wink
1652401089.283656,S,Double Blink
1652401092.4002209,L,Left Wink
1652401095.179046,S,Double Blink
1652401098.259358,R,Right Wink
1652401102.872768,S,Double Blink
1652401106.900351,L,Left Wink
