time_sec,action,action_name
1652334988.535069,S,Double Blink
1652334991.9647,S,Double Blink
1652334996.4766269,S,Double Blink
1652334998.578573,S,Double Blink
1652335003.018409,L,Left Wink
1652335006.807199,R,Right Wink
1652335009.7195368,L,Left Wink
1652335015.081538,R,Right Wink
1652335020.714676,R,Right Wink
1652335022.715651,L,Left Wink
1652335025.024204,L,Left Wink
1652335026.9239008,L,Left Wink
1652335030.184614,L,Left Wink
1652335033.61345,L,Left Wink
1652335037.5865228,R,Right Wink
1652335039.1494331,S,Double Blink
1652335041.7578838,R,Right Wink
1652335046.374447,L,Left Wink
1652335049.123808,L,Left Wink
1652335050.952775,L,Left Wink
1652335054.446532,L,Left Wink
1652335059.088741,L,Left Wink
1652335063.192254,L,Left Wink
1652335069.096787,R,Right Wink
1652335071.4020832,S,Double Blink
1652335075.609494,S,Double Blink
1652335081.006471,R,Right Wink
1652335085.215426,L,Left Wink
1652335089.353593,R,Right Wink
1652335093.0513868,R,Right Wink
1652335096.713115,L,Left Wink
1652335100.6523468,L,Left Wink
1652335104.788785,R,Right Wink
1652335109.51527,L,Left Wink
1652335114.56895,L,Left Wink
1652335120.159787,S,Double Blink
1652335123.722613,L,Left Wink
1652335129.660629,L,Left Wink
1652335133.3645,S,Double Blink
1652335135.768002,S,Double Blink
1652335140.957607,R,Right Wink
1652335144.0705569,S,Double Blink
1652335145.7672079,L,Left Wink
1652335150.106695,R,Right Wink
