time_sec,action,action_name
1652334205.037336,L,Left Wink
1652334207.436905,R,Right Wink
1652334208.997998,R,Right Wink
1652334210.662142,R,Right Wink
1652334213.986885,L,Left Wink
1652334217.750549,S,Double Blink
1652334223.337673,R,Right Wink
1652334228.086808,R,Right Wink
1652334229.853371,L,Left Wink
1652334233.754522,L,Left Wink
1652334237.2166579,S,Double Blink
1652334239.657608,L,Left Wink
1652334242.647468,L,Left Wink
1652334246.8185349,R,Right Wink
1652334248.6215098,S,Double Blink
1652334252.0795069,L,Left Wink
1652334258.045433,R,Right Wink
1652334261.573045,L,Left Wink
1652334264.8368099,S,Double Blink
1652334267.3130372,S,Double Blink
1652334270.606078,S,Double Blink
1652334273.390622,S,Double Blink
1652334276.104637,R,Right Wink
1652334278.993503,R,Right Wink
1652334284.896462,R,Right Wink
1652334288.529778,S,Double Blink
1652334293.7561212,S,Double Blink
1652334299.417139,S,Double Blink
1652334304.10348,S,Double Blink
1652334308.9906392,S,Double Blink
1652334310.8502588,L,Left Wink
1652334313.970919,R,Right Wink
1652334316.819081,R,Right Wink
1652334319.5001512,L,Left Wink
1652334325.505731,S,Double Blink
1652334327.604162,S,Double Blink
1652334329.334535,L,Left Wink
1652334332.495241,R,Right Wink
1652334334.597162,S,Double Blink
1652334340.094957,L,Left Wink
1652334344.408242,R,Right Wink
1652334349.933525,S,Double Blink
1652334353.794938,L,Left Wink
1652334359.663508,L,Left Wink
