time_sec,action,action_name
1652665344.8736188,R,Right Wink
1652665349.485497,S,Double Blink
1652665354.8138502,S,Double Blink
1652665357.1529322,R,Right Wink
1652665359.086659,S,Double Blink
1652665364.0063171,R,Right Wink
1652665368.0783172,L,Left Wink
1652665369.674947,L,Left Wink
1652665372.111114,L,Left Wink
1652665375.608762,L,Left Wink
1652665378.932524,R,Right Wink
1652665380.9720268,R,Right Wink
1652665382.840441,L,Left Wink
1652665386.5701172,L,Left Wink
1652665392.1026711,L,Left Wink
1652665395.294571,S,Double Blink
1652665399.706217,L,Left Wink
1652665401.845313,R,Right Wink
1652665405.6705348,L,Left Wink
1652665410.716477,R,Right Wink
1652665412.645219,S,Double Blink
1652665414.443742,L,Left Wink
1652665419.795829,R,Right Wink
1652665423.419683,L,Left Wink
1652665426.1742332,S,Double Blink
1652665427.839743,L,Left Wink
1652665433.103751,R,Right Wink
1652665437.884393,S,Double Blink
1652665443.106312,S,Double Blink
1652665449.1445389,S,Double Blink
1652665451.7161229,L,Left Wink
1652665453.984988,L,Left Wink
1652665457.679009,R,Right Wink
1652665462.0609128,S,Double Blink
1652665463.8931131,L,Left Wink
1652665466.91083,L,Left Wink
1652665471.992234,L,Left Wink
1652665476.911231,S,Double Blink
1652665481.2148569,L,Left Wink
1652665486.643003,L,Left Wink
1652665491.6625369,L,Left Wink
1652665494.513251,L,Left Wink
1652665499.772202,L,Left Wink
1652665504.116877,R,Right Wink
1652665506.209352,S,Double Blink
1652665510.6135411,L,Left Wink
1652665515.093531,L,Left Wink
1652665516.689145,L,Left Wink
1652665520.894322,L,Left Wink
1652665523.677249,R,Right Wink
